Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,
Fungal infection,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,
Fungal infection,itching,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,dischromic_patches,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,
Fungal infection,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,
Fungal infection,itching,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,dischromic_patches,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,
Allergy,sneezing,chills,chills,eye_irritation,,,,,,,,,,,,,
Allergy,chills,chills,eye_irritation,,,,,,,,,,,,,,
Allergy,sneezing,chills,eye_irritation,,,,,,,,,,,,,,
Allergy,sneezing,chills,eye_irritation,,,,,,,,,,,,,,
Allergy,sneezing,chills,chills,,,,,,,,,,,,,,
Allergy,chills,chills,eye_irritation,,,,,,,,,,,,,,
Allergy,sneezing,chills,eye_irritation,,,,,,,,,,,,,,
Allergy,sneezing,chills,eye_irritation,,,,,,,,,,,,,,
Allergy,sneezing,chills,chills,,,,,,,,,,,,,,
Allergy,sneezing,chills,chills,eye_irritation,,,,,,,,,,,,,
GERD,abdominal_pain,indigestion,mouth_ulcers,vomiting,cough,chest_pain,,,,,,,,,,,
GERD,abdominal_pain,mouth_ulcers,vomiting,cough,chest_pain,,,,,,,,,,,,
GERD,abdominal_pain,indigestion,vomiting,cough,chest_pain,,,,,,,,,,,,
GERD,abdominal_pain,indigestion,mouth_ulcers,cough,chest_pain,,,,,,,,,,,,
GERD,abdominal_pain,indigestion,mouth_ulcers,vomiting,chest_pain,,,,,,,,,,,,
GERD,abdominal_pain,indigestion,mouth_ulcers,vomiting,cough,,,,,,,,,,,,
GERD,indigestion,mouth_ulcers,vomiting,cough,chest_pain,,,,,,,,,,,,
GERD,abdominal_pain,mouth_ulcers,vomiting,cough,chest_pain,,,,,,,,,,,,
