antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'headache'}),frozenset({'vertigo'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'nausea'}),frozenset({'vertigo'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'vomiting'}),frozenset({'vertigo'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'nausea', 'headache'})",frozenset({'vertigo'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'headache', 'vomiting'})",frozenset({'vertigo'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'nausea', 'vomiting'})",frozenset({'vertigo'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'nausea', 'headache', 'vomiting'})",frozenset({'vertigo'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
frozenset({'vertigo'}),frozenset({'headache'}),1.0,0.95,0.95,0.95,1.0,1.0,0.0,1.0,0.0,0.95,0.0,0.975
frozenset({'vertigo'}),frozenset({'nausea'}),1.0,0.95,0.95,0.95,1.0,1.0,0.0,1.0,0.0,0.95,0.0,0.975
frozenset({'vertigo'}),frozenset({'vomiting'}),1.0,0.95,0.95,0.95,1.0,1.0,0.0,1.0,0.0,0.95,0.0,0.975
frozenset({'vertigo'}),"frozenset({'nausea', 'headache'})",1.0,0.9,0.9,0.9,1.0,1.0,0.0,1.0,0.0,0.9000000000000001,0.0,0.95
frozenset({'vertigo'}),"frozenset({'headache', 'vomiting'})",1.0,0.9,0.9,0.9,1.0,1.0,0.0,1.0,0.0,0.9000000000000001,0.0,0.95
frozenset({'vertigo'}),"frozenset({'nausea', 'vomiting'})",1.0,0.9,0.9,0.9,1.0,1.0,0.0,1.0,0.0,0.9000000000000001,0.0,0.95
frozenset({'vertigo'}),"frozenset({'nausea', 'headache', 'vomiting'})",1.0,0.85,0.85,0.85,1.0,1.0,0.0,1.0,0.0,0.85,0.0,0.925
frozenset({'nausea'}),frozenset({'headache'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
frozenset({'headache'}),frozenset({'nausea'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
frozenset({'headache'}),frozenset({'vomiting'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
frozenset({'vomiting'}),frozenset({'headache'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
frozenset({'nausea'}),frozenset({'vomiting'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
frozenset({'vomiting'}),frozenset({'nausea'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
"frozenset({'nausea', 'vertigo'})",frozenset({'headache'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
"frozenset({'vertigo', 'headache'})",frozenset({'nausea'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
frozenset({'nausea'}),"frozenset({'vertigo', 'headache'})",0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
frozenset({'headache'}),"frozenset({'nausea', 'vertigo'})",0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
"frozenset({'vertigo', 'headache'})",frozenset({'vomiting'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
"frozenset({'vertigo', 'vomiting'})",frozenset({'headache'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
frozenset({'headache'}),"frozenset({'vertigo', 'vomiting'})",0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
frozenset({'vomiting'}),"frozenset({'vertigo', 'headache'})",0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
"frozenset({'nausea', 'vertigo'})",frozenset({'vomiting'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
"frozenset({'vertigo', 'vomiting'})",frozenset({'nausea'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
frozenset({'nausea'}),"frozenset({'vertigo', 'vomiting'})",0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
frozenset({'vomiting'}),"frozenset({'nausea', 'vertigo'})",0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
"frozenset({'nausea', 'headache'})",frozenset({'vomiting'}),0.9,0.95,0.85,0.9444444444444444,0.9941520467836258,1.0,-0.0050000000000000044,0.9000000000000004,-0.055555555555555615,0.85,-0.11111111111111062,0.9195906432748537
"frozenset({'nausea', 'vomiting'})",frozenset({'headache'}),0.9,0.95,0.85,0.9444444444444444,0.9941520467836258,1.0,-0.0050000000000000044,0.9000000000000004,-0.055555555555555615,0.85,-0.11111111111111062,0.9195906432748537
"frozenset({'headache', 'vomiting'})",frozenset({'nausea'}),0.9,0.95,0.85,0.9444444444444444,0.9941520467836258,1.0,-0.0050000000000000044,0.9000000000000004,-0.055555555555555615,0.85,-0.11111111111111062,0.9195906432748537
"frozenset({'nausea', 'vertigo', 'headache'})",frozenset({'vomiting'}),0.9,0.95,0.85,0.9444444444444444,0.9941520467836258,1.0,-0.0050000000000000044,0.9000000000000004,-0.055555555555555615,0.85,-0.11111111111111062,0.9195906432748537
"frozenset({'nausea', 'vertigo', 'vomiting'})",frozenset({'headache'}),0.9,0.95,0.85,0.9444444444444444,0.9941520467836258,1.0,-0.0050000000000000044,0.9000000000000004,-0.055555555555555615,0.85,-0.11111111111111062,0.9195906432748537
