antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'extra_marital_contacts'}),frozenset({'AIDS'}),0.02195121951219512,0.024390243902439025,0.02195121951219512,1.0,41.0,1.0,0.021415823914336704,inf,0.9975062344139651,0.8999999999999999,1.0,0.95
frozenset({'muscle_wasting'}),frozenset({'AIDS'}),0.02195121951219512,0.024390243902439025,0.02195121951219512,1.0,41.0,1.0,0.021415823914336704,inf,0.9975062344139651,0.8999999999999999,1.0,0.95
"frozenset({'fever', 'extra_marital_contacts'})",frozenset({'AIDS'}),0.020731707317073172,0.024390243902439025,0.020731707317073172,1.0,41.0,1.0,0.02022605591909578,inf,0.9962640099626402,0.8500000000000001,1.0,0.925
"frozenset({'fever', 'muscle_wasting'})",frozenset({'AIDS'}),0.020731707317073172,0.024390243902439025,0.020731707317073172,1.0,41.0,1.0,0.02022605591909578,inf,0.9962640099626402,0.8500000000000001,1.0,0.925
"frozenset({'extra_marital_contacts', 'muscle_wasting'})",frozenset({'AIDS'}),0.01951219512195122,0.024390243902439025,0.01951219512195122,1.0,41.0,1.0,0.01903628792385485,inf,0.9950248756218907,0.8,1.0,0.8999999999999999
"frozenset({'extra_marital_contacts', 'throat_irritation'})",frozenset({'AIDS'}),0.01951219512195122,0.024390243902439025,0.01951219512195122,1.0,41.0,1.0,0.01903628792385485,inf,0.9950248756218907,0.8,1.0,0.8999999999999999
"frozenset({'muscle_wasting', 'throat_irritation'})",frozenset({'AIDS'}),0.01951219512195122,0.024390243902439025,0.01951219512195122,1.0,41.0,1.0,0.01903628792385485,inf,0.9950248756218907,0.8,1.0,0.8999999999999999
frozenset({'extra_marital_contacts'}),"frozenset({'fever', 'AIDS'})",0.02195121951219512,0.023170731707317073,0.020731707317073172,0.9444444444444445,40.76023391812866,1.0,0.020223081499107676,17.58292682926832,0.9973595423206689,0.8500000000000001,0.9431266472464975,0.9195906432748538
frozenset({'muscle_wasting'}),"frozenset({'fever', 'AIDS'})",0.02195121951219512,0.023170731707317073,0.020731707317073172,0.9444444444444445,40.76023391812866,1.0,0.020223081499107676,17.58292682926832,0.9973595423206689,0.8500000000000001,0.9431266472464975,0.9195906432748538
frozenset({'extra_marital_contacts'}),"frozenset({'AIDS', 'muscle_wasting'})",0.02195121951219512,0.02195121951219512,0.01951219512195122,0.888888888888889,40.49382716049383,1.0,0.019030339083878644,8.80243902439025,0.9971945137157108,0.8,0.8863951233028541,0.888888888888889
frozenset({'muscle_wasting'}),"frozenset({'AIDS', 'extra_marital_contacts'})",0.02195121951219512,0.02195121951219512,0.01951219512195122,0.888888888888889,40.49382716049383,1.0,0.019030339083878644,8.80243902439025,0.9971945137157108,0.8,0.8863951233028541,0.888888888888889
frozenset({'extra_marital_contacts'}),"frozenset({'AIDS', 'throat_irritation'})",0.02195121951219512,0.02195121951219512,0.01951219512195122,0.888888888888889,40.49382716049383,1.0,0.019030339083878644,8.80243902439025,0.9971945137157108,0.8,0.8863951233028541,0.888888888888889
frozenset({'muscle_wasting'}),"frozenset({'AIDS', 'throat_irritation'})",0.02195121951219512,0.02195121951219512,0.01951219512195122,0.888888888888889,40.49382716049383,1.0,0.019030339083878644,8.80243902439025,0.9971945137157108,0.8,0.8863951233028541,0.888888888888889
