antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'eye_irritation'}),frozenset({'chills'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
frozenset({'sneezing'}),frozenset({'chills'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'eye_irritation', 'sneezing'})",frozenset({'chills'}),0.8,1.0,0.8,1.0,1.0,1.0,0.0,inf,0.0,0.8,0.0,0.9
frozenset({'chills'}),frozenset({'eye_irritation'}),1.0,0.9,0.9,0.9,1.0,1.0,0.0,1.0,0.0,0.9000000000000001,0.0,0.95
frozenset({'chills'}),frozenset({'sneezing'}),1.0,0.9,0.9,0.9,1.0,1.0,0.0,1.0,0.0,0.9000000000000001,0.0,0.95
frozenset({'chills'}),"frozenset({'eye_irritation', 'sneezing'})",1.0,0.8,0.8,0.8,1.0,1.0,0.0,1.0,0.0,0.8,0.0,0.9
frozenset({'eye_irritation'}),frozenset({'sneezing'}),0.9,0.9,0.8,0.888888888888889,0.9876543209876544,1.0,-0.010000000000000009,0.9000000000000004,-0.11111111111111123,0.8,-0.11111111111111074,0.888888888888889
frozenset({'sneezing'}),frozenset({'eye_irritation'}),0.9,0.9,0.8,0.888888888888889,0.9876543209876544,1.0,-0.010000000000000009,0.9000000000000004,-0.11111111111111123,0.8,-0.11111111111111074,0.888888888888889
"frozenset({'chills', 'eye_irritation'})",frozenset({'sneezing'}),0.9,0.9,0.8,0.888888888888889,0.9876543209876544,1.0,-0.010000000000000009,0.9000000000000004,-0.11111111111111123,0.8,-0.11111111111111074,0.888888888888889
"frozenset({'chills', 'sneezing'})",frozenset({'eye_irritation'}),0.9,0.9,0.8,0.888888888888889,0.9876543209876544,1.0,-0.010000000000000009,0.9000000000000004,-0.11111111111111123,0.8,-0.11111111111111074,0.888888888888889
frozenset({'eye_irritation'}),"frozenset({'chills', 'sneezing'})",0.9,0.9,0.8,0.888888888888889,0.9876543209876544,1.0,-0.010000000000000009,0.9000000000000004,-0.11111111111111123,0.8,-0.11111111111111074,0.888888888888889
frozenset({'sneezing'}),"frozenset({'chills', 'eye_irritation'})",0.9,0.9,0.8,0.888888888888889,0.9876543209876544,1.0,-0.010000000000000009,0.9000000000000004,-0.11111111111111123,0.8,-0.11111111111111074,0.888888888888889
