antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'dizziness'}),frozenset({'neck_pain'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
frozenset({'neck_pain'}),frozenset({'dizziness'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
frozenset({'vertigo'}),frozenset({'dizziness'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
frozenset({'dizziness'}),frozenset({'vertigo'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
frozenset({'vertigo'}),frozenset({'neck_pain'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
frozenset({'neck_pain'}),frozenset({'vertigo'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
frozenset({'back_pain'}),frozenset({'dizziness'}),0.9,0.95,0.85,0.9444444444444444,0.9941520467836258,1.0,-0.0050000000000000044,0.9000000000000004,-0.055555555555555615,0.85,-0.11111111111111062,0.9195906432748537
frozenset({'back_pain'}),frozenset({'neck_pain'}),0.9,0.95,0.85,0.9444444444444444,0.9941520467836258,1.0,-0.0050000000000000044,0.9000000000000004,-0.055555555555555615,0.85,-0.11111111111111062,0.9195906432748537
frozenset({'back_pain'}),frozenset({'vertigo'}),0.9,0.95,0.85,0.9444444444444444,0.9941520467836258,1.0,-0.0050000000000000044,0.9000000000000004,-0.055555555555555615,0.85,-0.11111111111111062,0.9195906432748537
frozenset({'muscle_weakness'}),frozenset({'dizziness'}),0.9,0.95,0.85,0.9444444444444444,0.9941520467836258,1.0,-0.0050000000000000044,0.9000000000000004,-0.055555555555555615,0.85,-0.11111111111111062,0.9195906432748537
frozenset({'muscle_weakness'}),frozenset({'neck_pain'}),0.9,0.95,0.85,0.9444444444444444,0.9941520467836258,1.0,-0.0050000000000000044,0.9000000000000004,-0.055555555555555615,0.85,-0.11111111111111062,0.9195906432748537
