antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'fatigue'}),frozenset({'fever'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'fever'}),frozenset({'fatigue'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'fatigue'}),frozenset({'skin_rash'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'skin_rash'}),frozenset({'fatigue'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'fever'}),frozenset({'skin_rash'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'skin_rash'}),frozenset({'fever'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'fatigue', 'fever'})",frozenset({'skin_rash'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'fatigue', 'skin_rash'})",frozenset({'fever'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'skin_rash', 'fever'})",frozenset({'fatigue'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'fatigue'}),"frozenset({'skin_rash', 'fever'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'fever'}),"frozenset({'fatigue', 'skin_rash'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'skin_rash'}),"frozenset({'fatigue', 'fever'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'headache'}),frozenset({'fatigue'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'itching'}),frozenset({'fatigue'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
