antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'urinary_frequency'}),frozenset({'Diabetes'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"frozenset({'excessive_hunger', 'urinary_frequency'})",frozenset({'Diabetes'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
frozenset({'urinary_frequency'}),"frozenset({'Diabetes', 'excessive_hunger'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
"frozenset({'fatigue', 'urinary_frequency'})",frozenset({'Diabetes'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
frozenset({'urinary_frequency'}),"frozenset({'fatigue', 'Diabetes'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
frozenset({'irregular_sugar_level'}),frozenset({'Diabetes'}),0.023170731707317073,0.024390243902439025,0.023170731707317073,1.0,41.0,1.0,0.022605591909577633,inf,0.9987515605493134,0.95,1.0,0.975
"frozenset({'irregular_sugar_level', 'excessive_hunger'})",frozenset({'Diabetes'}),0.023170731707317073,0.024390243902439025,0.023170731707317073,1.0,41.0,1.0,0.022605591909577633,inf,0.9987515605493134,0.95,1.0,0.975
frozenset({'irregular_sugar_level'}),"frozenset({'Diabetes', 'excessive_hunger'})",0.023170731707317073,0.024390243902439025,0.023170731707317073,1.0,41.0,1.0,0.022605591909577633,inf,0.9987515605493134,0.95,1.0,0.975
"frozenset({'excessive_hunger', 'obesity'})",frozenset({'Diabetes'}),0.023170731707317073,0.024390243902439025,0.023170731707317073,1.0,41.0,1.0,0.022605591909577633,inf,0.9987515605493134,0.95,1.0,0.975
"frozenset({'fatigue', 'irregular_sugar_level'})",frozenset({'Diabetes'}),0.023170731707317073,0.024390243902439025,0.023170731707317073,1.0,41.0,1.0,0.022605591909577633,inf,0.9987515605493134,0.95,1.0,0.975
frozenset({'irregular_sugar_level'}),"frozenset({'fatigue', 'Diabetes'})",0.023170731707317073,0.024390243902439025,0.023170731707317073,1.0,41.0,1.0,0.022605591909577633,inf,0.9987515605493134,0.95,1.0,0.975
