antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'anal_pain'}),frozenset({'Dimorphic hemmorhoids(piles)'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
frozenset({'irritation_in_anus'}),frozenset({'Dimorphic hemmorhoids(piles)'}),0.023170731707317073,0.024390243902439025,0.023170731707317073,1.0,41.0,1.0,0.022605591909577633,inf,0.9987515605493134,0.95,1.0,0.975
"frozenset({'constipation', 'anal_pain'})",frozenset({'Dimorphic hemmorhoids(piles)'}),0.023170731707317073,0.024390243902439025,0.023170731707317073,1.0,41.0,1.0,0.022605591909577633,inf,0.9987515605493134,0.95,1.0,0.975
"frozenset({'irritation_in_anus', 'anal_pain'})",frozenset({'Dimorphic hemmorhoids(piles)'}),0.023170731707317073,0.024390243902439025,0.023170731707317073,1.0,41.0,1.0,0.022605591909577633,inf,0.9987515605493134,0.95,1.0,0.975
frozenset({'irritation_in_anus'}),"frozenset({'Dimorphic hemmorhoids(piles)', 'anal_pain'})",0.023170731707317073,0.024390243902439025,0.023170731707317073,1.0,41.0,1.0,0.022605591909577633,inf,0.9987515605493134,0.95,1.0,0.975
"frozenset({'stomach_bleeding', 'anal_pain'})",frozenset({'Dimorphic hemmorhoids(piles)'}),0.023170731707317073,0.024390243902439025,0.023170731707317073,1.0,41.0,1.0,0.022605591909577633,inf,0.9987515605493134,0.95,1.0,0.975
"frozenset({'constipation', 'irritation_in_anus'})",frozenset({'Dimorphic hemmorhoids(piles)'}),0.02195121951219512,0.024390243902439025,0.02195121951219512,1.0,41.0,1.0,0.021415823914336704,inf,0.9975062344139651,0.8999999999999999,1.0,0.95
"frozenset({'stomach_bleeding', 'constipation'})",frozenset({'Dimorphic hemmorhoids(piles)'}),0.02195121951219512,0.024390243902439025,0.02195121951219512,1.0,41.0,1.0,0.021415823914336704,inf,0.9975062344139651,0.8999999999999999,1.0,0.95
"frozenset({'stomach_bleeding', 'irritation_in_anus'})",frozenset({'Dimorphic hemmorhoids(piles)'}),0.02195121951219512,0.024390243902439025,0.02195121951219512,1.0,41.0,1.0,0.021415823914336704,inf,0.9975062344139651,0.8999999999999999,1.0,0.95
frozenset({'anal_pain'}),"frozenset({'constipation', 'Dimorphic hemmorhoids(piles)'})",0.024390243902439025,0.023170731707317073,0.023170731707317073,0.95,41.0,1.0,0.022605591909577633,19.53658536585364,1.0,0.95,0.9488139825218477,0.975
frozenset({'anal_pain'}),"frozenset({'Dimorphic hemmorhoids(piles)', 'irritation_in_anus'})",0.024390243902439025,0.023170731707317073,0.023170731707317073,0.95,41.0,1.0,0.022605591909577633,19.53658536585364,1.0,0.95,0.9488139825218477,0.975
frozenset({'anal_pain'}),"frozenset({'stomach_bleeding', 'Dimorphic hemmorhoids(piles)'})",0.024390243902439025,0.023170731707317073,0.023170731707317073,0.95,41.0,1.0,0.022605591909577633,19.53658536585364,1.0,0.95,0.9488139825218477,0.975
frozenset({'irritation_in_anus'}),"frozenset({'constipation', 'Dimorphic hemmorhoids(piles)'})",0.023170731707317073,0.023170731707317073,0.02195121951219512,0.9473684210526315,40.88642659279778,1.0,0.021414336704342653,18.559756097560957,0.998682202802053,0.8999999999999999,0.9461199816019449,0.9473684210526315
frozenset({'irritation_in_anus'}),"frozenset({'stomach_bleeding', 'Dimorphic hemmorhoids(piles)'})",0.023170731707317073,0.023170731707317073,0.02195121951219512,0.9473684210526315,40.88642659279778,1.0,0.021414336704342653,18.559756097560957,0.998682202802053,0.8999999999999999,0.9461199816019449,0.9473684210526315
