antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'dischromic_patches'}),frozenset({'itching'}),0.9,0.9,0.8,0.888888888888889,0.9876543209876544,1.0,-0.010000000000000009,0.9000000000000004,-0.11111111111111123,0.8,-0.11111111111111074,0.888888888888889
frozenset({'itching'}),frozenset({'dischromic_patches'}),0.9,0.9,0.8,0.888888888888889,0.9876543209876544,1.0,-0.010000000000000009,0.9000000000000004,-0.11111111111111123,0.8,-0.11111111111111074,0.888888888888889
frozenset({'nodal_skin_eruptions'}),frozenset({'dischromic_patches'}),0.9,0.9,0.8,0.888888888888889,0.9876543209876544,1.0,-0.010000000000000009,0.9000000000000004,-0.11111111111111123,0.8,-0.11111111111111074,0.888888888888889
frozenset({'dischromic_patches'}),frozenset({'nodal_skin_eruptions'}),0.9,0.9,0.8,0.888888888888889,0.9876543209876544,1.0,-0.010000000000000009,0.9000000000000004,-0.11111111111111123,0.8,-0.11111111111111074,0.888888888888889
frozenset({'dischromic_patches'}),frozenset({'skin_rash'}),0.9,0.9,0.8,0.888888888888889,0.9876543209876544,1.0,-0.010000000000000009,0.9000000000000004,-0.11111111111111123,0.8,-0.11111111111111074,0.888888888888889
frozenset({'skin_rash'}),frozenset({'dischromic_patches'}),0.9,0.9,0.8,0.888888888888889,0.9876543209876544,1.0,-0.010000000000000009,0.9000000000000004,-0.11111111111111123,0.8,-0.11111111111111074,0.888888888888889
frozenset({'nodal_skin_eruptions'}),frozenset({'itching'}),0.9,0.9,0.8,0.888888888888889,0.9876543209876544,1.0,-0.010000000000000009,0.9000000000000004,-0.11111111111111123,0.8,-0.11111111111111074,0.888888888888889
frozenset({'itching'}),frozenset({'nodal_skin_eruptions'}),0.9,0.9,0.8,0.888888888888889,0.9876543209876544,1.0,-0.010000000000000009,0.9000000000000004,-0.11111111111111123,0.8,-0.11111111111111074,0.888888888888889
frozenset({'skin_rash'}),frozenset({'itching'}),0.9,0.9,0.8,0.888888888888889,0.9876543209876544,1.0,-0.010000000000000009,0.9000000000000004,-0.11111111111111123,0.8,-0.11111111111111074,0.888888888888889
frozenset({'itching'}),frozenset({'skin_rash'}),0.9,0.9,0.8,0.888888888888889,0.9876543209876544,1.0,-0.010000000000000009,0.9000000000000004,-0.11111111111111123,0.8,-0.11111111111111074,0.888888888888889
frozenset({'nodal_skin_eruptions'}),frozenset({'skin_rash'}),0.9,0.9,0.8,0.888888888888889,0.9876543209876544,1.0,-0.010000000000000009,0.9000000000000004,-0.11111111111111123,0.8,-0.11111111111111074,0.888888888888889
frozenset({'skin_rash'}),frozenset({'nodal_skin_eruptions'}),0.9,0.9,0.8,0.888888888888889,0.9876543209876544,1.0,-0.010000000000000009,0.9000000000000004,-0.11111111111111123,0.8,-0.11111111111111074,0.888888888888889
"frozenset({'nodal_skin_eruptions', 'dischromic_patches'})",frozenset({'itching'}),0.8,0.9,0.7,0.8749999999999999,0.9722222222222221,1.0,-0.02000000000000013,0.7999999999999992,-0.12500000000000075,0.6999999999999998,-0.2500000000000014,0.8263888888888888
"frozenset({'nodal_skin_eruptions', 'itching'})",frozenset({'dischromic_patches'}),0.8,0.9,0.7,0.8749999999999999,0.9722222222222221,1.0,-0.02000000000000013,0.7999999999999992,-0.12500000000000075,0.6999999999999998,-0.2500000000000014,0.8263888888888888
"frozenset({'dischromic_patches', 'itching'})",frozenset({'nodal_skin_eruptions'}),0.8,0.9,0.7,0.8749999999999999,0.9722222222222221,1.0,-0.02000000000000013,0.7999999999999992,-0.12500000000000075,0.6999999999999998,-0.2500000000000014,0.8263888888888888
"frozenset({'dischromic_patches', 'skin_rash'})",frozenset({'itching'}),0.8,0.9,0.7,0.8749999999999999,0.9722222222222221,1.0,-0.02000000000000013,0.7999999999999992,-0.12500000000000075,0.6999999999999998,-0.2500000000000014,0.8263888888888888
"frozenset({'dischromic_patches', 'itching'})",frozenset({'skin_rash'}),0.8,0.9,0.7,0.8749999999999999,0.9722222222222221,1.0,-0.02000000000000013,0.7999999999999992,-0.12500000000000075,0.6999999999999998,-0.2500000000000014,0.8263888888888888
"frozenset({'skin_rash', 'itching'})",frozenset({'dischromic_patches'}),0.8,0.9,0.7,0.8749999999999999,0.9722222222222221,1.0,-0.02000000000000013,0.7999999999999992,-0.12500000000000075,0.6999999999999998,-0.2500000000000014,0.8263888888888888
"frozenset({'nodal_skin_eruptions', 'dischromic_patches'})",frozenset({'skin_rash'}),0.8,0.9,0.7,0.8749999999999999,0.9722222222222221,1.0,-0.02000000000000013,0.7999999999999992,-0.12500000000000075,0.6999999999999998,-0.2500000000000014,0.8263888888888888
