antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'fatigue'}),frozenset({'jaundice'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'jaundice'}),frozenset({'fatigue'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'fatigue'}),frozenset({'receiving_blood_transfusion'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'receiving_blood_transfusion'}),frozenset({'fatigue'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'receiving_unsterile_injections'}),frozenset({'fatigue'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'fatigue'}),frozenset({'receiving_unsterile_injections'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'jaundice'}),frozenset({'receiving_blood_transfusion'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'receiving_blood_transfusion'}),frozenset({'jaundice'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'receiving_unsterile_injections'}),frozenset({'jaundice'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'jaundice'}),frozenset({'receiving_unsterile_injections'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'receiving_unsterile_injections'}),frozenset({'receiving_blood_transfusion'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'receiving_blood_transfusion'}),frozenset({'receiving_unsterile_injections'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'fatigue', 'jaundice'})",frozenset({'receiving_blood_transfusion'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'fatigue', 'receiving_blood_transfusion'})",frozenset({'jaundice'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'jaundice', 'receiving_blood_transfusion'})",frozenset({'fatigue'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'fatigue'}),"frozenset({'jaundice', 'receiving_blood_transfusion'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'jaundice'}),"frozenset({'fatigue', 'receiving_blood_transfusion'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'receiving_blood_transfusion'}),"frozenset({'fatigue', 'jaundice'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'receiving_unsterile_injections', 'jaundice'})",frozenset({'fatigue'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'receiving_unsterile_injections', 'fatigue'})",frozenset({'jaundice'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'fatigue', 'jaundice'})",frozenset({'receiving_unsterile_injections'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'receiving_unsterile_injections'}),"frozenset({'fatigue', 'jaundice'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'jaundice'}),"frozenset({'receiving_unsterile_injections', 'fatigue'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'fatigue'}),"frozenset({'receiving_unsterile_injections', 'jaundice'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'receiving_unsterile_injections', 'receiving_blood_transfusion'})",frozenset({'fatigue'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'receiving_unsterile_injections', 'fatigue'})",frozenset({'receiving_blood_transfusion'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'fatigue', 'receiving_blood_transfusion'})",frozenset({'receiving_unsterile_injections'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'receiving_unsterile_injections'}),"frozenset({'fatigue', 'receiving_blood_transfusion'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'receiving_blood_transfusion'}),"frozenset({'receiving_unsterile_injections', 'fatigue'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'fatigue'}),"frozenset({'receiving_unsterile_injections', 'receiving_blood_transfusion'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'receiving_unsterile_injections', 'jaundice'})",frozenset({'receiving_blood_transfusion'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'receiving_unsterile_injections', 'receiving_blood_transfusion'})",frozenset({'jaundice'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'jaundice', 'receiving_blood_transfusion'})",frozenset({'receiving_unsterile_injections'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'receiving_unsterile_injections'}),"frozenset({'jaundice', 'receiving_blood_transfusion'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'jaundice'}),"frozenset({'receiving_unsterile_injections', 'receiving_blood_transfusion'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'receiving_blood_transfusion'}),"frozenset({'receiving_unsterile_injections', 'jaundice'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'receiving_unsterile_injections', 'jaundice', 'fatigue'})",frozenset({'receiving_blood_transfusion'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'receiving_unsterile_injections', 'jaundice', 'receiving_blood_transfusion'})",frozenset({'fatigue'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'receiving_unsterile_injections', 'receiving_blood_transfusion', 'fatigue'})",frozenset({'jaundice'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'fatigue', 'jaundice', 'receiving_blood_transfusion'})",frozenset({'receiving_unsterile_injections'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'receiving_unsterile_injections', 'jaundice'})","frozenset({'fatigue', 'receiving_blood_transfusion'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'receiving_unsterile_injections', 'fatigue'})","frozenset({'jaundice', 'receiving_blood_transfusion'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'receiving_unsterile_injections', 'receiving_blood_transfusion'})","frozenset({'fatigue', 'jaundice'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'fatigue', 'jaundice'})","frozenset({'receiving_unsterile_injections', 'receiving_blood_transfusion'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'jaundice', 'receiving_blood_transfusion'})","frozenset({'receiving_unsterile_injections', 'fatigue'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
"frozenset({'fatigue', 'receiving_blood_transfusion'})","frozenset({'receiving_unsterile_injections', 'jaundice'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'receiving_unsterile_injections'}),"frozenset({'fatigue', 'jaundice', 'receiving_blood_transfusion'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'jaundice'}),"frozenset({'receiving_unsterile_injections', 'receiving_blood_transfusion', 'fatigue'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'fatigue'}),"frozenset({'receiving_unsterile_injections', 'jaundice', 'receiving_blood_transfusion'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'receiving_blood_transfusion'}),"frozenset({'receiving_unsterile_injections', 'jaundice', 'fatigue'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'abdominal_pain'}),frozenset({'fatigue'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'abdominal_pain'}),frozenset({'jaundice'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'abdominal_pain'}),frozenset({'receiving_blood_transfusion'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'abdominal_pain'}),frozenset({'receiving_unsterile_injections'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'itching'}),frozenset({'fatigue'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'loss_of_appetite'}),frozenset({'fatigue'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'itching'}),frozenset({'jaundice'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'itching'}),frozenset({'receiving_blood_transfusion'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'itching'}),frozenset({'receiving_unsterile_injections'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'loss_of_appetite'}),frozenset({'jaundice'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'loss_of_appetite'}),frozenset({'receiving_blood_transfusion'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'loss_of_appetite'}),frozenset({'receiving_unsterile_injections'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'fatigue', 'abdominal_pain'})",frozenset({'jaundice'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'jaundice', 'abdominal_pain'})",frozenset({'fatigue'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'abdominal_pain'}),"frozenset({'fatigue', 'jaundice'})",0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'fatigue', 'abdominal_pain'})",frozenset({'receiving_blood_transfusion'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'receiving_blood_transfusion', 'abdominal_pain'})",frozenset({'fatigue'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'abdominal_pain'}),"frozenset({'fatigue', 'receiving_blood_transfusion'})",0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'receiving_unsterile_injections', 'abdominal_pain'})",frozenset({'fatigue'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'fatigue', 'abdominal_pain'})",frozenset({'receiving_unsterile_injections'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'abdominal_pain'}),"frozenset({'receiving_unsterile_injections', 'fatigue'})",0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'jaundice', 'abdominal_pain'})",frozenset({'receiving_blood_transfusion'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'receiving_blood_transfusion', 'abdominal_pain'})",frozenset({'jaundice'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'abdominal_pain'}),"frozenset({'jaundice', 'receiving_blood_transfusion'})",0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'receiving_unsterile_injections', 'abdominal_pain'})",frozenset({'jaundice'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'jaundice', 'abdominal_pain'})",frozenset({'receiving_unsterile_injections'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'abdominal_pain'}),"frozenset({'receiving_unsterile_injections', 'jaundice'})",0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'receiving_unsterile_injections', 'abdominal_pain'})",frozenset({'receiving_blood_transfusion'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'receiving_blood_transfusion', 'abdominal_pain'})",frozenset({'receiving_unsterile_injections'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
