antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'abdominal_pain'}),frozenset({'jaundice'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'fatigue'}),frozenset({'jaundice'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'joint_pain'}),frozenset({'jaundice'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'loss_of_appetite'}),frozenset({'jaundice'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'nausea'}),frozenset({'jaundice'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'vomiting'}),frozenset({'jaundice'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'fatigue', 'abdominal_pain'})",frozenset({'jaundice'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'joint_pain', 'abdominal_pain'})",frozenset({'jaundice'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'loss_of_appetite', 'abdominal_pain'})",frozenset({'jaundice'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'nausea', 'abdominal_pain'})",frozenset({'jaundice'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'abdominal_pain', 'vomiting'})",frozenset({'jaundice'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'joint_pain', 'fatigue'})",frozenset({'jaundice'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'fatigue', 'loss_of_appetite'})",frozenset({'jaundice'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'fatigue', 'nausea'})",frozenset({'jaundice'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'fatigue', 'vomiting'})",frozenset({'jaundice'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'joint_pain', 'loss_of_appetite'})",frozenset({'jaundice'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'joint_pain', 'nausea'})",frozenset({'jaundice'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'joint_pain', 'vomiting'})",frozenset({'jaundice'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'loss_of_appetite', 'nausea'})",frozenset({'jaundice'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'loss_of_appetite', 'vomiting'})",frozenset({'jaundice'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'nausea', 'vomiting'})",frozenset({'jaundice'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'joint_pain', 'fatigue', 'abdominal_pain'})",frozenset({'jaundice'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'fatigue', 'loss_of_appetite', 'abdominal_pain'})",frozenset({'jaundice'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'fatigue', 'nausea', 'abdominal_pain'})",frozenset({'jaundice'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'fatigue', 'abdominal_pain', 'vomiting'})",frozenset({'jaundice'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'joint_pain', 'loss_of_appetite', 'abdominal_pain'})",frozenset({'jaundice'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'joint_pain', 'nausea', 'abdominal_pain'})",frozenset({'jaundice'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'joint_pain', 'abdominal_pain', 'vomiting'})",frozenset({'jaundice'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'loss_of_appetite', 'nausea', 'abdominal_pain'})",frozenset({'jaundice'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'loss_of_appetite', 'abdominal_pain', 'vomiting'})",frozenset({'jaundice'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'nausea', 'abdominal_pain', 'vomiting'})",frozenset({'jaundice'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'joint_pain', 'fatigue', 'loss_of_appetite'})",frozenset({'jaundice'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'joint_pain', 'fatigue', 'nausea'})",frozenset({'jaundice'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'joint_pain', 'fatigue', 'vomiting'})",frozenset({'jaundice'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'fatigue', 'nausea', 'loss_of_appetite'})",frozenset({'jaundice'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'fatigue', 'loss_of_appetite', 'vomiting'})",frozenset({'jaundice'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'fatigue', 'nausea', 'vomiting'})",frozenset({'jaundice'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'joint_pain', 'loss_of_appetite', 'nausea'})",frozenset({'jaundice'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'joint_pain', 'loss_of_appetite', 'vomiting'})",frozenset({'jaundice'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'joint_pain', 'nausea', 'vomiting'})",frozenset({'jaundice'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'loss_of_appetite', 'nausea', 'vomiting'})",frozenset({'jaundice'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'joint_pain', 'fatigue', 'loss_of_appetite', 'abdominal_pain'})",frozenset({'jaundice'}),0.8,1.0,0.8,1.0,1.0,1.0,0.0,inf,0.0,0.8,0.0,0.9
"frozenset({'joint_pain', 'fatigue', 'nausea', 'abdominal_pain'})",frozenset({'jaundice'}),0.8,1.0,0.8,1.0,1.0,1.0,0.0,inf,0.0,0.8,0.0,0.9
"frozenset({'joint_pain', 'fatigue', 'abdominal_pain', 'vomiting'})",frozenset({'jaundice'}),0.8,1.0,0.8,1.0,1.0,1.0,0.0,inf,0.0,0.8,0.0,0.9
"frozenset({'fatigue', 'nausea', 'loss_of_appetite', 'abdominal_pain'})",frozenset({'jaundice'}),0.8,1.0,0.8,1.0,1.0,1.0,0.0,inf,0.0,0.8,0.0,0.9
"frozenset({'fatigue', 'loss_of_appetite', 'abdominal_pain', 'vomiting'})",frozenset({'jaundice'}),0.8,1.0,0.8,1.0,1.0,1.0,0.0,inf,0.0,0.8,0.0,0.9
"frozenset({'fatigue', 'nausea', 'abdominal_pain', 'vomiting'})",frozenset({'jaundice'}),0.8,1.0,0.8,1.0,1.0,1.0,0.0,inf,0.0,0.8,0.0,0.9
"frozenset({'joint_pain', 'loss_of_appetite', 'nausea', 'abdominal_pain'})",frozenset({'jaundice'}),0.8,1.0,0.8,1.0,1.0,1.0,0.0,inf,0.0,0.8,0.0,0.9
"frozenset({'joint_pain', 'loss_of_appetite', 'abdominal_pain', 'vomiting'})",frozenset({'jaundice'}),0.8,1.0,0.8,1.0,1.0,1.0,0.0,inf,0.0,0.8,0.0,0.9
