antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'acne'}),frozenset({'skin_rash'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'yellow_crust_ooze'}),frozenset({'skin_rash'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'acne', 'yellow_crust_ooze'})",frozenset({'skin_rash'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
frozenset({'fever'}),frozenset({'skin_rash'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'acne', 'fever'})",frozenset({'skin_rash'}),0.8,1.0,0.8,1.0,1.0,1.0,0.0,inf,0.0,0.8,0.0,0.9
"frozenset({'yellow_crust_ooze', 'fever'})",frozenset({'skin_rash'}),0.8,1.0,0.8,1.0,1.0,1.0,0.0,inf,0.0,0.8,0.0,0.9
"frozenset({'acne', 'yellow_crust_ooze', 'fever'})",frozenset({'skin_rash'}),0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
frozenset({'skin_rash'}),frozenset({'acne'}),1.0,0.95,0.95,0.95,1.0,1.0,0.0,1.0,0.0,0.95,0.0,0.975
frozenset({'skin_rash'}),frozenset({'yellow_crust_ooze'}),1.0,0.95,0.95,0.95,1.0,1.0,0.0,1.0,0.0,0.95,0.0,0.975
frozenset({'skin_rash'}),"frozenset({'acne', 'yellow_crust_ooze'})",1.0,0.9,0.9,0.9,1.0,1.0,0.0,1.0,0.0,0.9000000000000001,0.0,0.95
frozenset({'skin_rash'}),frozenset({'fever'}),1.0,0.85,0.85,0.85,1.0,1.0,0.0,1.0,0.0,0.85,0.0,0.925
frozenset({'skin_rash'}),"frozenset({'acne', 'fever'})",1.0,0.8,0.8,0.8,1.0,1.0,0.0,1.0,0.0,0.8,0.0,0.9
frozenset({'skin_rash'}),"frozenset({'yellow_crust_ooze', 'fever'})",1.0,0.8,0.8,0.8,1.0,1.0,0.0,1.0,0.0,0.8,0.0,0.9
frozenset({'skin_rash'}),"frozenset({'acne', 'yellow_crust_ooze', 'fever'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
frozenset({'acne'}),frozenset({'yellow_crust_ooze'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
frozenset({'yellow_crust_ooze'}),frozenset({'acne'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
"frozenset({'acne', 'skin_rash'})",frozenset({'yellow_crust_ooze'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
"frozenset({'yellow_crust_ooze', 'skin_rash'})",frozenset({'acne'}),0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
frozenset({'acne'}),"frozenset({'yellow_crust_ooze', 'skin_rash'})",0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
frozenset({'yellow_crust_ooze'}),"frozenset({'acne', 'skin_rash'})",0.95,0.95,0.9,0.9473684210526316,0.9972299168975071,1.0,-0.0024999999999999467,0.950000000000002,-0.05263157894736738,0.9000000000000001,-0.052631578947366316,0.9473684210526316
frozenset({'fever'}),frozenset({'acne'}),0.85,0.95,0.8,0.9411764705882354,0.9907120743034057,1.0,-0.007499999999999951,0.8500000000000022,-0.05882352941176436,0.8000000000000003,-0.1764705882352911,0.8916408668730651
frozenset({'fever'}),frozenset({'yellow_crust_ooze'}),0.85,0.95,0.8,0.9411764705882354,0.9907120743034057,1.0,-0.007499999999999951,0.8500000000000022,-0.05882352941176436,0.8000000000000003,-0.1764705882352911,0.8916408668730651
"frozenset({'skin_rash', 'fever'})",frozenset({'acne'}),0.85,0.95,0.8,0.9411764705882354,0.9907120743034057,1.0,-0.007499999999999951,0.8500000000000022,-0.05882352941176436,0.8000000000000003,-0.1764705882352911,0.8916408668730651
frozenset({'fever'}),"frozenset({'acne', 'skin_rash'})",0.85,0.95,0.8,0.9411764705882354,0.9907120743034057,1.0,-0.007499999999999951,0.8500000000000022,-0.05882352941176436,0.8000000000000003,-0.1764705882352911,0.8916408668730651
"frozenset({'skin_rash', 'fever'})",frozenset({'yellow_crust_ooze'}),0.85,0.95,0.8,0.9411764705882354,0.9907120743034057,1.0,-0.007499999999999951,0.8500000000000022,-0.05882352941176436,0.8000000000000003,-0.1764705882352911,0.8916408668730651
frozenset({'fever'}),"frozenset({'yellow_crust_ooze', 'skin_rash'})",0.85,0.95,0.8,0.9411764705882354,0.9907120743034057,1.0,-0.007499999999999951,0.8500000000000022,-0.05882352941176436,0.8000000000000003,-0.1764705882352911,0.8916408668730651
