antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'chills'}),frozenset({'muscle_pain'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'fever'}),frozenset({'muscle_pain'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'headache'}),frozenset({'muscle_pain'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'nausea'}),frozenset({'muscle_pain'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'sweating'}),frozenset({'muscle_pain'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'vomiting'}),frozenset({'muscle_pain'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'diarrhoea'}),frozenset({'muscle_pain'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'chills', 'fever'})",frozenset({'muscle_pain'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'chills', 'headache'})",frozenset({'muscle_pain'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'chills', 'nausea'})",frozenset({'muscle_pain'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'chills', 'sweating'})",frozenset({'muscle_pain'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'chills', 'vomiting'})",frozenset({'muscle_pain'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'headache', 'fever'})",frozenset({'muscle_pain'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'nausea', 'fever'})",frozenset({'muscle_pain'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'sweating', 'fever'})",frozenset({'muscle_pain'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'fever', 'vomiting'})",frozenset({'muscle_pain'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'nausea', 'headache'})",frozenset({'muscle_pain'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'sweating', 'headache'})",frozenset({'muscle_pain'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'headache', 'vomiting'})",frozenset({'muscle_pain'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'sweating', 'nausea'})",frozenset({'muscle_pain'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'nausea', 'vomiting'})",frozenset({'muscle_pain'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'sweating', 'vomiting'})",frozenset({'muscle_pain'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'chills', 'diarrhoea'})",frozenset({'muscle_pain'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'diarrhoea', 'fever'})",frozenset({'muscle_pain'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'diarrhoea', 'headache'})",frozenset({'muscle_pain'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'diarrhoea', 'nausea'})",frozenset({'muscle_pain'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'sweating', 'diarrhoea'})",frozenset({'muscle_pain'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'diarrhoea', 'vomiting'})",frozenset({'muscle_pain'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'chills', 'headache', 'fever'})",frozenset({'muscle_pain'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'chills', 'nausea', 'fever'})",frozenset({'muscle_pain'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'chills', 'sweating', 'fever'})",frozenset({'muscle_pain'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'chills', 'fever', 'vomiting'})",frozenset({'muscle_pain'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'chills', 'nausea', 'headache'})",frozenset({'muscle_pain'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'chills', 'sweating', 'headache'})",frozenset({'muscle_pain'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
"frozenset({'chills', 'headache', 'vomiting'})",frozenset({'muscle_pain'}),0.85,1.0,0.85,1.0,1.0,1.0,0.0,inf,0.0,0.85,0.0,0.925
