antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'visual_disturbances'}),frozenset({'indigestion'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'indigestion'}),frozenset({'visual_disturbances'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'depression'}),frozenset({'indigestion'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'depression'}),frozenset({'visual_disturbances'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'excessive_hunger'}),frozenset({'indigestion'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'excessive_hunger'}),frozenset({'visual_disturbances'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'headache'}),frozenset({'indigestion'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'headache'}),frozenset({'visual_disturbances'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'irritability'}),frozenset({'indigestion'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'stiffness'}),frozenset({'indigestion'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'irritability'}),frozenset({'visual_disturbances'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'stiffness'}),frozenset({'visual_disturbances'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'visual_disturbances', 'depression'})",frozenset({'indigestion'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'indigestion', 'depression'})",frozenset({'visual_disturbances'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'depression'}),"frozenset({'visual_disturbances', 'indigestion'})",0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'visual_disturbances', 'excessive_hunger'})",frozenset({'indigestion'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'indigestion', 'excessive_hunger'})",frozenset({'visual_disturbances'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'excessive_hunger'}),"frozenset({'visual_disturbances', 'indigestion'})",0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'visual_disturbances', 'headache'})",frozenset({'indigestion'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'indigestion', 'headache'})",frozenset({'visual_disturbances'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'headache'}),"frozenset({'visual_disturbances', 'indigestion'})",0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'visual_disturbances', 'irritability'})",frozenset({'indigestion'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'indigestion', 'irritability'})",frozenset({'visual_disturbances'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'irritability'}),"frozenset({'visual_disturbances', 'indigestion'})",0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'visual_disturbances', 'stiffness'})",frozenset({'indigestion'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'indigestion', 'stiffness'})",frozenset({'visual_disturbances'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'stiffness'}),"frozenset({'visual_disturbances', 'indigestion'})",0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'excessive_hunger', 'depression'})",frozenset({'indigestion'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'excessive_hunger', 'depression'})",frozenset({'visual_disturbances'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'headache', 'depression'})",frozenset({'indigestion'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
"frozenset({'headache', 'depression'})",frozenset({'visual_disturbances'}),0.9,1.0,0.9,1.0,1.0,1.0,0.0,inf,0.0,0.9000000000000001,0.0,0.95
