antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'altered_sensorium'}),frozenset({'Paralysis (brain hemorrhage)'}),0.023170731707317073,0.024390243902439025,0.023170731707317073,1.0,41.0,1.0,0.022605591909577633,inf,0.9987515605493134,0.95,1.0,0.975
frozenset({'weakness_of_one_body_side'}),frozenset({'Paralysis (brain hemorrhage)'}),0.02195121951219512,0.024390243902439025,0.02195121951219512,1.0,41.0,1.0,0.021415823914336704,inf,0.9975062344139651,0.8999999999999999,1.0,0.95
"frozenset({'altered_sensorium', 'headache'})",frozenset({'Paralysis (brain hemorrhage)'}),0.020731707317073172,0.024390243902439025,0.020731707317073172,1.0,41.0,1.0,0.02022605591909578,inf,0.9962640099626402,0.8500000000000001,1.0,0.925
"frozenset({'altered_sensorium', 'vomiting'})",frozenset({'Paralysis (brain hemorrhage)'}),0.020731707317073172,0.024390243902439025,0.020731707317073172,1.0,41.0,1.0,0.02022605591909578,inf,0.9962640099626402,0.8500000000000001,1.0,0.925
"frozenset({'weakness_of_one_body_side', 'altered_sensorium'})",frozenset({'Paralysis (brain hemorrhage)'}),0.020731707317073172,0.024390243902439025,0.020731707317073172,1.0,41.0,1.0,0.02022605591909578,inf,0.9962640099626402,0.8500000000000001,1.0,0.925
"frozenset({'weakness_of_one_body_side', 'headache'})",frozenset({'Paralysis (brain hemorrhage)'}),0.01951219512195122,0.024390243902439025,0.01951219512195122,1.0,41.0,1.0,0.01903628792385485,inf,0.9950248756218907,0.8,1.0,0.8999999999999999
"frozenset({'weakness_of_one_body_side', 'vomiting'})",frozenset({'Paralysis (brain hemorrhage)'}),0.01951219512195122,0.024390243902439025,0.01951219512195122,1.0,41.0,1.0,0.01903628792385485,inf,0.9950248756218907,0.8,1.0,0.8999999999999999
frozenset({'weakness_of_one_body_side'}),"frozenset({'Paralysis (brain hemorrhage)', 'altered_sensorium'})",0.02195121951219512,0.023170731707317073,0.020731707317073172,0.9444444444444445,40.76023391812866,1.0,0.020223081499107676,17.58292682926832,0.9973595423206689,0.8500000000000001,0.9431266472464975,0.9195906432748538
frozenset({'altered_sensorium'}),"frozenset({'Paralysis (brain hemorrhage)', 'headache'})",0.023170731707317073,0.02195121951219512,0.020731707317073172,0.8947368421052632,40.760233918128655,1.0,0.020223081499107676,9.291463414634146,0.9986046853198208,0.8500000000000001,0.8923743273395459,0.9195906432748538
frozenset({'altered_sensorium'}),"frozenset({'Paralysis (brain hemorrhage)', 'vomiting'})",0.023170731707317073,0.02195121951219512,0.020731707317073172,0.8947368421052632,40.760233918128655,1.0,0.020223081499107676,9.291463414634146,0.9986046853198208,0.8500000000000001,0.8923743273395459,0.9195906432748538
frozenset({'altered_sensorium'}),"frozenset({'weakness_of_one_body_side', 'Paralysis (brain hemorrhage)'})",0.023170731707317073,0.02195121951219512,0.020731707317073172,0.8947368421052632,40.760233918128655,1.0,0.020223081499107676,9.291463414634146,0.9986046853198208,0.8500000000000001,0.8923743273395459,0.9195906432748538
frozenset({'weakness_of_one_body_side'}),"frozenset({'Paralysis (brain hemorrhage)', 'headache'})",0.02195121951219512,0.02195121951219512,0.01951219512195122,0.888888888888889,40.49382716049383,1.0,0.019030339083878644,8.80243902439025,0.9971945137157108,0.8,0.8863951233028541,0.888888888888889
frozenset({'weakness_of_one_body_side'}),"frozenset({'Paralysis (brain hemorrhage)', 'vomiting'})",0.02195121951219512,0.02195121951219512,0.01951219512195122,0.888888888888889,40.49382716049383,1.0,0.019030339083878644,8.80243902439025,0.9971945137157108,0.8,0.8863951233028541,0.888888888888889
