antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'skin_peeling'}),frozenset({'nail_abnormalities'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'nail_abnormalities'}),frozenset({'skin_peeling'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'joint_pain'}),frozenset({'nail_abnormalities'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'joint_pain'}),frozenset({'skin_peeling'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'skin_rash'}),frozenset({'nail_abnormalities'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'skin_rash'}),frozenset({'skin_peeling'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'joint_pain', 'skin_peeling'})",frozenset({'nail_abnormalities'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'joint_pain', 'nail_abnormalities'})",frozenset({'skin_peeling'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'joint_pain'}),"frozenset({'skin_peeling', 'nail_abnormalities'})",0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'skin_peeling', 'skin_rash'})",frozenset({'nail_abnormalities'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
"frozenset({'nail_abnormalities', 'skin_rash'})",frozenset({'skin_peeling'}),0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
frozenset({'skin_rash'}),"frozenset({'skin_peeling', 'nail_abnormalities'})",0.95,1.0,0.95,1.0,1.0,1.0,0.0,inf,0.0,0.95,0.0,0.975
