antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'varicose_veins'}),frozenset({'Varicose veins'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
frozenset({'bruising'}),frozenset({'Varicose veins'}),0.023170731707317073,0.024390243902439025,0.023170731707317073,1.0,41.0,1.0,0.022605591909577633,inf,0.9987515605493134,0.95,1.0,0.975
frozenset({'cramps'}),frozenset({'Varicose veins'}),0.023170731707317073,0.024390243902439025,0.023170731707317073,1.0,41.0,1.0,0.022605591909577633,inf,0.9987515605493134,0.95,1.0,0.975
"frozenset({'bruising', 'varicose_veins'})",frozenset({'Varicose veins'}),0.023170731707317073,0.024390243902439025,0.023170731707317073,1.0,41.0,1.0,0.022605591909577633,inf,0.9987515605493134,0.95,1.0,0.975
frozenset({'bruising'}),"frozenset({'Varicose veins', 'varicose_veins'})",0.023170731707317073,0.024390243902439025,0.023170731707317073,1.0,41.0,1.0,0.022605591909577633,inf,0.9987515605493134,0.95,1.0,0.975
"frozenset({'varicose_veins', 'cramps'})",frozenset({'Varicose veins'}),0.023170731707317073,0.024390243902439025,0.023170731707317073,1.0,41.0,1.0,0.022605591909577633,inf,0.9987515605493134,0.95,1.0,0.975
frozenset({'cramps'}),"frozenset({'Varicose veins', 'varicose_veins'})",0.023170731707317073,0.024390243902439025,0.023170731707317073,1.0,41.0,1.0,0.022605591909577633,inf,0.9987515605493134,0.95,1.0,0.975
"frozenset({'edema', 'varicose_veins'})",frozenset({'Varicose veins'}),0.023170731707317073,0.024390243902439025,0.023170731707317073,1.0,41.0,1.0,0.022605591909577633,inf,0.9987515605493134,0.95,1.0,0.975
"frozenset({'fatigue', 'varicose_veins'})",frozenset({'Varicose veins'}),0.023170731707317073,0.024390243902439025,0.023170731707317073,1.0,41.0,1.0,0.022605591909577633,inf,0.9987515605493134,0.95,1.0,0.975
"frozenset({'obesity', 'varicose_veins'})",frozenset({'Varicose veins'}),0.023170731707317073,0.024390243902439025,0.023170731707317073,1.0,41.0,1.0,0.022605591909577633,inf,0.9987515605493134,0.95,1.0,0.975
"frozenset({'bruising', 'cramps'})",frozenset({'Varicose veins'}),0.02195121951219512,0.024390243902439025,0.02195121951219512,1.0,41.0,1.0,0.021415823914336704,inf,0.9975062344139651,0.8999999999999999,1.0,0.95
"frozenset({'bruising', 'edema'})",frozenset({'Varicose veins'}),0.02195121951219512,0.024390243902439025,0.02195121951219512,1.0,41.0,1.0,0.021415823914336704,inf,0.9975062344139651,0.8999999999999999,1.0,0.95
"frozenset({'fatigue', 'bruising'})",frozenset({'Varicose veins'}),0.02195121951219512,0.024390243902439025,0.02195121951219512,1.0,41.0,1.0,0.021415823914336704,inf,0.9975062344139651,0.8999999999999999,1.0,0.95
"frozenset({'obesity', 'bruising'})",frozenset({'Varicose veins'}),0.02195121951219512,0.024390243902439025,0.02195121951219512,1.0,41.0,1.0,0.021415823914336704,inf,0.9975062344139651,0.8999999999999999,1.0,0.95
