,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
60,frozenset({'loss_of_smell'}),frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
61,frozenset({'Common Cold'}),frozenset({'loss_of_smell'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
63,frozenset({'nasal_congestion'}),frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
64,frozenset({'Common Cold'}),frozenset({'nasal_congestion'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
66,frozenset({'runny_nose'}),frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
67,frozenset({'Common Cold'}),frozenset({'runny_nose'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
80,frozenset({'Dengue'}),frozenset({'pain_behind_the_eyes'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
81,frozenset({'pain_behind_the_eyes'}),frozenset({'Dengue'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
90,frozenset({'Diabetes'}),frozenset({'urinary_frequency'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
91,frozenset({'urinary_frequency'}),frozenset({'Diabetes'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
94,frozenset({'Dimorphic hemmorhoids(piles)'}),frozenset({'anal_pain'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
95,frozenset({'anal_pain'}),frozenset({'Dimorphic hemmorhoids(piles)'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
117,frozenset({'dehydration'}),frozenset({'Gastroenteritis'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
118,frozenset({'Gastroenteritis'}),frozenset({'dehydration'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
130,frozenset({'receiving_blood_transfusion'}),frozenset({'Hepatitis B'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
131,frozenset({'Hepatitis B'}),frozenset({'receiving_blood_transfusion'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
132,frozenset({'receiving_unsterile_injections'}),frozenset({'Hepatitis B'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
133,frozenset({'Hepatitis B'}),frozenset({'receiving_unsterile_injections'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
149,frozenset({'coma'}),frozenset({'Hepatitis E'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
150,frozenset({'Hepatitis E'}),frozenset({'coma'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
186,frozenset({'slurred_speech'}),frozenset({'Hypoglycemia'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
187,frozenset({'Hypoglycemia'}),frozenset({'slurred_speech'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
197,frozenset({'enlarged_thyroid'}),frozenset({'Hypothyroidism'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
198,frozenset({'Hypothyroidism'}),frozenset({'enlarged_thyroid'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
269,frozenset({'rusty_sputum'}),frozenset({'Tuberculosis'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
270,frozenset({'Tuberculosis'}),frozenset({'rusty_sputum'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
294,frozenset({'Varicose veins'}),frozenset({'varicose_veins'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
295,frozenset({'varicose_veins'}),frozenset({'Varicose veins'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
578,frozenset({'nasal_congestion'}),frozenset({'loss_of_smell'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
579,frozenset({'loss_of_smell'}),frozenset({'nasal_congestion'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
581,frozenset({'runny_nose'}),frozenset({'loss_of_smell'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
582,frozenset({'loss_of_smell'}),frozenset({'runny_nose'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
596,frozenset({'runny_nose'}),frozenset({'nasal_congestion'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
597,frozenset({'nasal_congestion'}),frozenset({'runny_nose'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
614,frozenset({'receiving_blood_transfusion'}),frozenset({'receiving_unsterile_injections'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
615,frozenset({'receiving_unsterile_injections'}),frozenset({'receiving_blood_transfusion'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1022,"frozenset({'chest_pain', 'eye_irritation'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1025,frozenset({'Common Cold'}),"frozenset({'chest_pain', 'eye_irritation'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1035,"frozenset({'chest_pain', 'loss_of_smell'})",frozenset({'Common Cold'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1036,"frozenset({'chest_pain', 'Common Cold'})",frozenset({'loss_of_smell'}),0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
1038,frozenset({'loss_of_smell'}),"frozenset({'chest_pain', 'Common Cold'})",0.024390243902439025,0.024390243902439025,0.024390243902439025,1.0,41.0,1.0,0.023795359904818562,inf,1.0,1.0,1.0,1.0
